phase,train_on,test_on,layer,acc_all,acc_pseudo
within,base__none,base__none,8,0.9285679528656724,0.9809999999999999
within,base__none,base__none,16,0.9300185433598991,0.9809999999999999
within,base__none,base__none,19,0.9303802046345246,0.9800000000000001
within,base__none,base__none,24,0.9242201267787159,0.9800000000000001
within,base__none,base__none,26,0.9209572845156367,0.978
within,base__none,base__none,31,0.9169691470054445,0.978
within,sft__none,sft__none,8,0.9539407927615139,0.976
within,sft__none,sft__none,16,0.9604658197217182,0.975
within,sft__none,sft__none,19,0.9633663431442173,0.975
within,sft__none,sft__none,24,0.9666324732370656,0.974
within,sft__none,sft__none,26,0.9680837212972462,0.975
within,sft__none,sft__none,31,0.9666318156711118,0.977
within,dpo__none,dpo__none,8,0.9144276545937556,0.9219999999999999
within,dpo__none,dpo__none,16,0.9195165575107183,0.9259999999999999
within,dpo__none,dpo__none,19,0.9235060101528184,0.9369999999999999
within,dpo__none,dpo__none,24,0.9340204897551224,0.942
within,dpo__none,dpo__none,26,0.9354664772876721,0.944
within,dpo__none,dpo__none,31,0.9332905915463321,0.9400000000000001
within,final__none,final__none,8,0.9140673084510377,0.9209999999999999
within,final__none,final__none,16,0.9158913964070596,0.9189999999999999
within,final__none,final__none,19,0.9177016754780505,0.925
within,final__none,final__none,24,0.9278558089376364,0.9339999999999999
within,final__none,final__none,26,0.9285784739209342,0.9309999999999998
within,final__none,final__none,31,0.9224144506694023,0.932
cross,base__none,base__none,8,0.9474256707759245,
cross,base__none,sft__none,8,0.5997099347353154,
cross,base__none,dpo__none,8,0.6595358955765047,
cross,base__none,final__none,8,0.6595358955765047,
cross,base__none,base__none,16,0.9699057287889775,
cross,base__none,sft__none,16,0.6015228426395939,
cross,base__none,dpo__none,16,0.6374184191443075,
cross,base__none,final__none,16,0.6359680928208847,
cross,base__none,base__none,19,0.9833212472806382,
cross,base__none,sft__none,19,0.6149383611312546,
cross,base__none,dpo__none,19,0.6472081218274112,
cross,base__none,final__none,19,0.6432197244379986,
cross,base__none,base__none,24,0.9978245105148659,
cross,base__none,sft__none,24,0.8589557650471356,
cross,base__none,dpo__none,24,0.794778825235678,
cross,base__none,final__none,24,0.7915155910079767,
cross,base__none,base__none,26,0.9985496736765772,
cross,base__none,sft__none,26,0.8651196519216824,
cross,base__none,dpo__none,26,0.8147208121827412,
cross,base__none,final__none,26,0.80891950688905,
cross,base__none,base__none,31,1.0,
cross,base__none,sft__none,31,0.9086294416243654,
cross,base__none,dpo__none,31,0.8767222625090645,
cross,base__none,final__none,31,0.8778100072516316,
cross,sft__none,sft__none,8,0.9677302393038434,
cross,sft__none,dpo__none,8,0.9390862944162437,
cross,sft__none,final__none,8,0.9383611312545322,
cross,sft__none,sft__none,16,0.9873096446700508,
cross,sft__none,dpo__none,16,0.9506889050036258,
cross,sft__none,final__none,16,0.9506889050036258,
cross,sft__none,sft__none,19,0.9956490210297317,
cross,sft__none,dpo__none,19,0.9510514865844815,
cross,sft__none,final__none,19,0.9510514865844815,
cross,sft__none,sft__none,24,0.9996374184191443,
cross,sft__none,dpo__none,24,0.9521392313270486,
cross,sft__none,final__none,24,0.9525018129079043,
cross,sft__none,sft__none,26,0.9996374184191443,
cross,sft__none,dpo__none,26,0.9525018129079043,
cross,sft__none,final__none,26,0.9525018129079043,
cross,sft__none,sft__none,31,1.0,
cross,sft__none,dpo__none,31,0.9506889050036258,
cross,sft__none,final__none,31,0.9503263234227701,
