layer,category,pair,cosine
8,harmful,base-sft,0.6850337592113129
8,harmful,base-dpo,0.7010641064068919
8,harmful,base-fin,0.7022792584502681
8,harmful,sft-dpo,0.9965610373550248
8,harmful,sft-fin,0.9960445486154048
8,harmful,dpo-fin,0.9997297646998177
8,pseudo_harm,base-sft,0.7529218630550317
8,pseudo_harm,base-dpo,0.7955784834296793
8,pseudo_harm,base-fin,0.7972458467453784
8,pseudo_harm,sft-dpo,0.9748952322610537
8,pseudo_harm,sft-fin,0.9754237508012187
8,pseudo_harm,dpo-fin,0.9997348478159799
8,harmless,base-sft,0.796376583229552
8,harmless,base-dpo,0.8009606060190334
8,harmless,base-fin,0.8020240779026582
8,harmless,sft-dpo,0.9947752447423145
8,harmless,sft-fin,0.9944452571523643
8,harmless,dpo-fin,0.9996951943661665
16,harmful,base-sft,0.6750806904109415
16,harmful,base-dpo,0.6820618974643261
16,harmful,base-fin,0.6824678924297042
16,harmful,sft-dpo,0.9865378421066302
16,harmful,sft-fin,0.98607925984946
16,harmful,dpo-fin,0.9997422198159317
16,pseudo_harm,base-sft,0.7376017279499901
16,pseudo_harm,base-dpo,0.7885799251212895
16,pseudo_harm,base-fin,0.7898637324451783
16,pseudo_harm,sft-dpo,0.9447833394423764
16,pseudo_harm,sft-fin,0.9435792092254739
16,pseudo_harm,dpo-fin,0.9996619380483246
16,harmless,base-sft,0.8312760962083642
16,harmless,base-dpo,0.8239507854202635
16,harmless,base-fin,0.8239707832618312
16,harmless,sft-dpo,0.9810199279179039
16,harmless,sft-fin,0.9805063436212955
16,harmless,dpo-fin,0.9997032849576463
19,harmful,base-sft,0.6463521567260477
19,harmful,base-dpo,0.6433644804367296
19,harmful,base-fin,0.6438057926979605
19,harmful,sft-dpo,0.9854643648493038
19,harmful,sft-fin,0.9846037578440805
19,harmful,dpo-fin,0.9997326052526712
19,pseudo_harm,base-sft,0.7000239545489777
19,pseudo_harm,base-dpo,0.7686884692261117
19,pseudo_harm,base-fin,0.7694154871221194
19,pseudo_harm,sft-dpo,0.9385426955636719
19,pseudo_harm,sft-fin,0.9365021469020257
19,pseudo_harm,dpo-fin,0.9996221922039997
19,harmless,base-sft,0.8189115418793399
19,harmless,base-dpo,0.8077538953280939
19,harmless,base-fin,0.8067434418283965
19,harmless,sft-dpo,0.9778521660170529
19,harmless,sft-fin,0.9767579720207661
19,harmless,dpo-fin,0.9996655724572758
24,harmful,base-sft,0.5908436834268499
24,harmful,base-dpo,0.5826165630716025
24,harmful,base-fin,0.5823526426513116
24,harmful,sft-dpo,0.9832211723929632
24,harmful,sft-fin,0.982001378377568
24,harmful,dpo-fin,0.9996667823084264
24,pseudo_harm,base-sft,0.6367229997448698
24,pseudo_harm,base-dpo,0.7193928875768133
24,pseudo_harm,base-fin,0.7203069441129865
24,pseudo_harm,sft-dpo,0.9348301202233265
24,pseudo_harm,sft-fin,0.9320231709143583
24,pseudo_harm,dpo-fin,0.9994539398483884
24,harmless,base-sft,0.7941175707499214
24,harmless,base-dpo,0.7789799881352416
24,harmless,base-fin,0.7766561199612788
24,harmless,sft-dpo,0.9743444560284269
24,harmless,sft-fin,0.9725321289031227
24,harmless,dpo-fin,0.9995278211595471
26,harmful,base-sft,0.5805570478964361
26,harmful,base-dpo,0.5736804932860132
26,harmful,base-fin,0.5732081240356676
26,harmful,sft-dpo,0.9829869308413447
26,harmful,sft-fin,0.9816651538330933
26,harmful,dpo-fin,0.9996575119541083
26,pseudo_harm,base-sft,0.6165437769762262
26,pseudo_harm,base-dpo,0.7022366078456558
26,pseudo_harm,base-fin,0.7030507205481903
26,pseudo_harm,sft-dpo,0.9344658479305279
26,pseudo_harm,sft-fin,0.9310505233301861
26,pseudo_harm,dpo-fin,0.999387137210499
26,harmless,base-sft,0.7815947037649149
26,harmless,base-dpo,0.764400007895704
26,harmless,base-fin,0.7616927082106271
26,harmless,sft-dpo,0.9734079430962022
26,harmless,sft-fin,0.9712914861480277
26,harmless,dpo-fin,0.9994838108089266
31,harmful,base-sft,0.6966736894964757
31,harmful,base-dpo,0.6196942308517204
31,harmful,base-fin,0.6051890187879889
31,harmful,sft-dpo,0.9760103638404516
31,harmful,sft-fin,0.9701723871112113
31,harmful,dpo-fin,0.999244360298404
31,pseudo_harm,base-sft,0.7674590022427746
31,pseudo_harm,base-dpo,0.7500809999231751
31,pseudo_harm,base-fin,0.739385150790205
31,pseudo_harm,sft-dpo,0.930259260605405
31,pseudo_harm,sft-fin,0.9203053374822142
31,pseudo_harm,dpo-fin,0.998790276224781
31,harmless,base-sft,0.8429546471430971
31,harmless,base-dpo,0.7598110560167923
31,harmless,base-fin,0.743799850155028
31,harmless,sft-dpo,0.953375877818442
31,harmless,sft-fin,0.9424964718316624
31,harmless,dpo-fin,0.9986080302241358
