checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
base__none,8,first_gen,logistic,0.38611112734684827,0.06168221233273498,0.14048935323338682,0.8781051505058307,0.9411042944785276,0.988,0.031093397479684363,-0.04992198066253302,19,981,565,250,1000
base__none,16,first_gen,logistic,0.38172057008160676,0.09815863976763657,0.11278334956359298,1.7406583533376927,0.9914110429447853,0.9984,0.004329546074943822,-0.01742177909948653,19,981,565,250,1000
base__none,19,first_gen,logistic,0.39219450432260733,0.13960630126452367,0.11626783442431543,2.40146042034352,0.9950920245398773,0.9984,0.008323211312629126,-0.018231991832415327,19,981,565,250,1000
base__none,24,first_gen,logistic,0.39567012893432196,0.2769113017507808,0.1498332248674793,3.6962603187069667,0.9975460122699387,0.9992,0.012394634701965014,-0.010528855661445069,19,981,565,250,1000
base__none,26,first_gen,logistic,0.39644031419803594,0.3031887984813502,0.14246189492875866,4.256419565849054,0.996319018404908,0.9992,0.01257210303737113,-0.010287317361531455,19,981,565,250,1000
base__none,31,first_gen,logistic,0.3613597008215492,0.45634979823044397,0.11140005700065338,8.192990390081532,1.0,1.0,0.017494007251695975,-0.014699811876663473,19,981,565,250,1000
base__mistral_safety,8,first_gen,logistic,0.41181193612927125,-0.027152444080661784,-0.06098032062546595,0.8905313649440758,0.9226993865030675,0.9832,0.03419648882625314,-0.07234689088659156,34,966,565,250,1000
base__mistral_safety,16,first_gen,logistic,0.42460247609028734,-0.004288268382838147,-0.004857310911155556,1.7656964774437167,0.9914110429447853,1.0,0.05326084912259431,-0.03437863911048177,34,966,565,250,1000
base__mistral_safety,19,first_gen,logistic,0.4014070119781632,-0.07016789304355701,-0.058406733720267286,2.4027329923846974,0.996319018404908,1.0,0.056418670974503496,-0.01597583757088667,34,966,565,250,1000
base__mistral_safety,24,first_gen,logistic,0.38061453621358143,-0.09827911387270873,-0.05517305837300924,3.5625762562688403,0.9987730061349693,1.0,0.059568799585822944,-0.008631450791009547,34,966,565,250,1000
base__mistral_safety,26,first_gen,logistic,0.37914136076417565,-0.07548537159374671,-0.03684061328497197,4.097943267656661,0.9987730061349693,1.0,0.04801691345014983,-0.005372126728283618,34,966,565,250,1000
base__mistral_safety,31,first_gen,logistic,0.3635991282219323,-0.11290025682166877,-0.030061614319941678,7.511257088198037,1.0,1.0,0.026365159269169984,-0.0111820486982186,34,966,565,250,1000
sft__none,8,first_gen,logistic,0.3672963505080382,-0.015113235410734973,-0.018478893736427884,1.635729457217657,0.9693251533742331,0.9952,0.2633217697309016,0.045995709601121204,344,656,565,250,1000
sft__none,16,first_gen,logistic,0.36985467838369734,0.14029499569819825,0.08465254014038714,3.314608054655751,1.0,1.0,0.16463432270229592,0.03186711758031851,344,656,565,250,1000
