checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
base__none,8,first_gen,mean_diff,0.41670235991477966,0.12304926663637161,0.1532296137187741,1.6060768365859985,0.7840490797546013,0.7992,-0.24238935112953186,-0.2508261799812317,19,981,565,250,1000
base__none,16,first_gen,mean_diff,0.27213382720947266,-0.16970932483673096,-0.11143067159125856,3.0460073947906494,0.7815950920245399,0.8576,-0.21449945867061615,-0.20503327250480652,19,981,565,250,1000
base__none,19,first_gen,mean_diff,0.2737840414047241,-0.24909603595733643,-0.11265722968656931,4.42219352722168,0.7926380368098159,0.8552,-0.21702778339385986,-0.24061056971549988,19,981,565,250,1000
base__none,24,first_gen,mean_diff,0.3440856337547302,0.20259860157966614,0.057986561676358385,6.9877777099609375,0.8,0.8456,-0.20666810870170593,-0.22671067714691162,19,981,565,250,1000
base__none,26,first_gen,mean_diff,0.3620164394378662,0.40094509720802307,0.10164445322196693,7.8891682624816895,0.8049079754601227,0.8584,-0.1811397671699524,-0.21216443181037903,19,981,565,250,1000
base__none,31,first_gen,mean_diff,0.5123621821403503,5.238141059875488,0.5504033536933346,19.03382682800293,0.7263803680981595,0.776,-0.1478898674249649,-0.2575761079788208,19,981,565,250,1000
base__mistral_safety,8,first_gen,mean_diff,0.041382987052202225,-0.930854856967926,-0.9222273571397189,2.018710136413574,0.5349693251533743,0.8736,-0.05937077850103378,-0.28410398960113525,34,966,565,250,1000
base__mistral_safety,16,first_gen,mean_diff,-0.01427660696208477,-2.0127696990966797,-1.0307657679024682,3.9053871631622314,0.6957055214723926,0.868,0.030215080827474594,-0.2910243570804596,34,966,565,250,1000
base__mistral_safety,19,first_gen,mean_diff,0.010043218731880188,-2.7170512676239014,-0.977833331045229,5.557289123535156,0.7288343558282209,0.8624,0.036897409707307816,-0.3086656928062439,34,966,565,250,1000
base__mistral_safety,24,first_gen,mean_diff,0.0708121508359909,-3.661561965942383,-0.8419572291957229,8.697738647460938,0.7349693251533742,0.848,0.0460037924349308,-0.29715386033058167,34,966,565,250,1000
base__mistral_safety,26,first_gen,mean_diff,0.09641139209270477,-3.9581642150878906,-0.7876487633932481,10.050581932067871,0.7165644171779141,0.8576,0.05195038765668869,-0.2868082523345947,34,966,565,250,1000
base__mistral_safety,31,first_gen,mean_diff,0.18480002880096436,-6.234409332275391,-0.5726546526243645,21.773714065551758,0.7202453987730061,0.7512,0.01818736642599106,-0.18790802359580994,34,966,565,250,1000
sft__none,8,first_gen,mean_diff,0.5638260841369629,-0.3030637204647064,-0.19737049370673976,3.0710134506225586,0.8355828220858895,0.7328,0.8326228260993958,0.276266872882843,344,656,565,250,1000
sft__none,16,first_gen,mean_diff,0.6334984302520752,-0.7622585892677307,-0.18642699254757172,8.177556037902832,0.8368098159509203,0.7408,0.8335839509963989,0.362358957529068,344,656,565,250,1000
sft__none,19,first_gen,mean_diff,0.6878288984298706,-1.2528916597366333,-0.18812297960542568,13.319921493530273,0.8355828220858895,0.7264,0.8481893539428711,0.49501511454582214,344,656,565,250,1000
sft__none,24,first_gen,mean_diff,0.7373369932174683,-2.3227992057800293,-0.1981837486871188,23.44086456298828,0.838036809815951,0.6952,0.8634209632873535,0.616841197013855,344,656,565,250,1000
