checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
base__none,8,last_prompt,logistic,0.3217543587686403,-0.12081181485524613,-0.20302022214181362,1.1901456276691167,0.9828220858895705,0.9944,0.017322370574224307,-0.08314425875431175,19,981,565,250,1000
base__none,16,last_prompt,logistic,0.3077985087623526,-0.10025881161872698,-0.09585190840981077,2.0919523310913055,0.9938650306748467,1.0,-0.027186913065693586,-0.1068258259166713,19,981,565,250,1000
base__none,19,last_prompt,logistic,0.30569398932413655,-0.14912323491057267,-0.10924647897749279,2.730032790188055,0.9938650306748467,1.0,-0.020887523582006746,-0.11357001004942495,19,981,565,250,1000
base__none,24,last_prompt,logistic,0.2965402041601682,-0.31436004932638334,-0.1566071438849846,4.0146323025628465,0.9938650306748467,1.0,-0.009843082297483095,-0.10347921025016425,19,981,565,250,1000
base__none,26,last_prompt,logistic,0.30195062866314326,-0.38431948662897536,-0.16105700301361597,4.7724653934667405,0.9938650306748467,1.0,-0.006125457917835397,-0.0985193302427371,19,981,565,250,1000
base__none,31,last_prompt,logistic,0.31145197872797603,-1.0841212322878115,-0.22915839221856896,9.461763296486978,1.0,1.0,0.019460749712308868,-0.06853106603461505,19,981,565,250,1000
base__mistral_safety,8,last_prompt,logistic,0.3047426004622792,-0.1702727778400442,-0.2897226768970621,1.1754190570353025,0.9815950920245399,0.9936,0.04955509924159866,-0.09659067718075065,34,966,565,250,1000
base__mistral_safety,16,last_prompt,logistic,0.2966280586569552,-0.2172697795303119,-0.20368882074131908,2.133350065453424,1.0,1.0,0.08023308070598884,-0.11070329578119305,34,966,565,250,1000
base__mistral_safety,19,last_prompt,logistic,0.29226679425609814,-0.3423701721195263,-0.24252146224729468,2.823421638208809,1.0,1.0,0.0722024678292646,-0.08310308524671918,34,966,565,250,1000
base__mistral_safety,24,last_prompt,logistic,0.2761128653563788,-0.745972884148884,-0.3610258030091659,4.132518384731325,1.0,1.0,0.06948138497653944,-0.07796529606247896,34,966,565,250,1000
base__mistral_safety,26,last_prompt,logistic,0.27735691239602067,-1.0530593800723052,-0.4287467159085267,4.912267970803423,1.0,1.0,0.06974424594811393,-0.07413850625548357,34,966,565,250,1000
base__mistral_safety,31,last_prompt,logistic,0.2772299430498546,-2.430948802849343,-0.5051833903658383,9.624025053907353,1.0,1.0,0.06512789126507064,-0.04749373594384085,34,966,565,250,1000
sft__none,8,last_prompt,logistic,0.36005608967002356,-0.0016062735965623638,-0.0024659950143368025,1.3027387218739779,0.9865030674846625,0.9968,0.1366595094713889,-0.016527886527369612,344,656,565,250,1000
