checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
base__none,8,last_prompt,mean_diff,-0.22811180353164673,-1.8916798830032349,-1.8827127332040745,2.009525775909424,0.6969325153374233,0.9464,-0.015386183746159077,-0.14166024327278137,19,981,565,250,1000
base__none,16,last_prompt,mean_diff,-0.2219161093235016,-3.8301217555999756,-1.9020427604853505,4.027377128601074,0.7006134969325153,0.9504,-0.04810217022895813,-0.1740829199552536,19,981,565,250,1000
base__none,19,last_prompt,mean_diff,-0.27946770191192627,-6.277350902557373,-2.153587770025438,5.829668045043945,0.7263803680981595,0.932,0.0028995051980018616,-0.2575906217098236,19,981,565,250,1000
base__none,24,last_prompt,mean_diff,-0.24463531374931335,-8.718605041503906,-2.0162671053493453,8.648263931274414,0.7263803680981595,0.932,0.04017605632543564,-0.3261154890060425,19,981,565,250,1000
base__none,26,last_prompt,mean_diff,-0.2344115972518921,-9.900800704956055,-1.9356538512955053,10.229928970336914,0.7337423312883435,0.9328,0.04224911332130432,-0.3186275362968445,19,981,565,250,1000
base__none,31,last_prompt,mean_diff,-0.2424149215221405,-25.579797744750977,-1.942913928814194,26.331375122070312,0.7202453987730061,0.9376,0.0042575653642416,-0.17464645206928253,19,981,565,250,1000
base__mistral_safety,8,last_prompt,mean_diff,-0.2655651271343231,-2.058501958847046,-2.014663860349965,2.0435190200805664,0.7030674846625767,0.9472,0.14810656011104584,-0.2979428768157959,34,966,565,250,1000
base__mistral_safety,16,last_prompt,mean_diff,-0.2146414816379547,-3.7704806327819824,-1.8193372795823146,4.144894599914551,0.7042944785276074,0.9504,0.05544203892350197,-0.23965436220169067,34,966,565,250,1000
base__mistral_safety,19,last_prompt,mean_diff,-0.25318658351898193,-5.899993419647217,-1.998142221922928,5.9054789543151855,0.7153374233128834,0.9368,-0.03957860544323921,-0.19540634751319885,34,966,565,250,1000
base__mistral_safety,24,last_prompt,mean_diff,-0.23484960198402405,-8.582889556884766,-1.9375205462199798,8.859663009643555,0.7251533742331289,0.9432,-0.03145773336291313,-0.21840256452560425,34,966,565,250,1000
