checkpoint,layer,token_position,method,entanglement,boundary_margin,acc_ref,acc_over,n_harmful,n_harmless,n_pseudo
base__none,8,last_prompt,logistic,0.23353826444028264,0.0660669598161233,0.9374288964732651,0.9976757699012202,1037,721,1000
base__none,16,last_prompt,logistic,0.20931888677513105,0.09212177366511244,0.9806598407281001,1.0,1037,721,1000
base__none,19,last_prompt,logistic,0.18500364195547173,0.0764053400471224,0.9886234357224118,1.0,1037,721,1000
base__none,24,last_prompt,logistic,0.18959953697841078,0.19066539700115595,0.9954493742889647,1.0,1037,721,1000
base__none,26,last_prompt,logistic,0.19028199739016738,0.11680507698292802,0.997155858930603,1.0,1037,721,1000
base__none,31,last_prompt,logistic,0.1994877347849624,0.23710714683016704,1.0,1.0,1037,721,1000
base__mistral_safety,8,last_prompt,logistic,0.23356786437643012,0.0662136262069815,0.9374288964732651,0.9976757699012202,1037,721,1000
base__mistral_safety,16,last_prompt,logistic,0.20934051930068487,0.09263164537546305,0.9806598407281001,1.0,1037,721,1000
base__mistral_safety,19,last_prompt,logistic,0.18507233310344756,0.07616329924578158,0.9891922639362912,1.0,1037,721,1000
base__mistral_safety,24,last_prompt,logistic,0.18944586391162166,0.1894660579539906,0.9954493742889647,1.0,1037,721,1000
base__mistral_safety,26,last_prompt,logistic,0.19142431143747468,0.11594660322976734,0.997155858930603,1.0,1037,721,1000
base__mistral_safety,31,last_prompt,logistic,0.19964503114923937,0.2360248888074832,1.0,1.0,1037,721,1000
sft__none,8,last_prompt,logistic,0.24354685310757612,0.08730371114811777,0.9448236632536974,0.9976757699012202,1037,721,1000
sft__none,16,last_prompt,logistic,0.20382449534050553,-0.048870325340825985,0.987485779294653,1.0,1037,721,1000
sft__none,19,last_prompt,logistic,0.19889733870061527,-0.026719885559724973,0.9943117178612059,1.0,1037,721,1000
sft__none,24,last_prompt,logistic,0.19391557152272454,-0.024679389914825576,0.997155858930603,1.0,1037,721,1000
sft__none,26,last_prompt,logistic,0.20861722726855098,-0.019192429918183707,0.997155858930603,1.0,1037,721,1000
sft__none,31,last_prompt,logistic,0.20354800478598672,-0.05041677528761207,1.0,1.0,1037,721,1000
sft__mistral_safety,8,last_prompt,logistic,0.24359776837880756,0.08764043368918607,0.9448236632536974,0.9976757699012202,1037,721,1000
sft__mistral_safety,16,last_prompt,logistic,0.2038262445468793,-0.048818139457476664,0.9880546075085325,1.0,1037,721,1000
sft__mistral_safety,19,last_prompt,logistic,0.19902419177156833,-0.027273207451377943,0.9943117178612059,1.0,1037,721,1000
sft__mistral_safety,24,last_prompt,logistic,0.194518450942071,-0.024914612547672077,0.997155858930603,1.0,1037,721,1000
sft__mistral_safety,26,last_prompt,logistic,0.2085652772450739,-0.016658600162552304,0.997155858930603,1.0,1037,721,1000
sft__mistral_safety,31,last_prompt,logistic,0.20369796977186597,-0.04910275803408823,1.0,1.0,1037,721,1000
dpo__none,8,last_prompt,logistic,0.24293098513371922,0.08765194962743922,0.944254835039818,0.9976757699012202,1037,721,1000
dpo__none,16,last_prompt,logistic,0.20461475702591503,-0.05946836106029585,0.9886234357224118,1.0,1037,721,1000
dpo__none,19,last_prompt,logistic,0.2043133274226962,-0.02843369793336953,0.9943117178612059,1.0,1037,721,1000
dpo__none,24,last_prompt,logistic,0.19532473875033093,-0.046357198893517707,0.997155858930603,1.0,1037,721,1000
dpo__none,26,last_prompt,logistic,0.2101589911932843,-0.04593255849701873,0.997155858930603,1.0,1037,721,1000
dpo__none,31,last_prompt,logistic,0.2147310001847129,-0.0016111340761195548,1.0,1.0,1037,721,1000
dpo__mistral_safety,8,last_prompt,logistic,0.2429494064070442,0.08757393646958854,0.9448236632536974,0.9976757699012202,1037,721,1000
dpo__mistral_safety,16,last_prompt,logistic,0.20435195759098995,-0.0592542714824889,0.9886234357224118,1.0,1037,721,1000
dpo__mistral_safety,19,last_prompt,logistic,0.2042052074727368,-0.02776377633192577,0.9943117178612059,1.0,1037,721,1000
dpo__mistral_safety,24,last_prompt,logistic,0.19542491069646772,-0.04716580214036486,0.997155858930603,1.0,1037,721,1000
dpo__mistral_safety,26,last_prompt,logistic,0.209342134970135,-0.04697357456680274,0.997155858930603,1.0,1037,721,1000
dpo__mistral_safety,31,last_prompt,logistic,0.21428433371403455,-0.0012399228989600601,1.0,1.0,1037,721,1000
final__none,8,last_prompt,logistic,0.24226322138869671,0.08676174219150654,0.9436860068259386,0.9976757699012202,1037,721,1000
final__none,16,last_prompt,logistic,0.204495940897609,-0.05960931460153853,0.9886234357224118,1.0,1037,721,1000
final__none,19,last_prompt,logistic,0.20475249408343088,-0.030943932767897066,0.9943117178612059,1.0,1037,721,1000
final__none,24,last_prompt,logistic,0.1956369836319619,-0.0454718327429977,0.997155858930603,1.0,1037,721,1000
final__none,26,last_prompt,logistic,0.2103671557171553,-0.04725605100753272,0.997155858930603,1.0,1037,721,1000
final__none,31,last_prompt,logistic,0.21389038120941006,4.971342022830072e-05,1.0,1.0,1037,721,1000
final__mistral_safety,8,last_prompt,logistic,0.24212018897289847,0.08651624830653987,0.9436860068259386,0.9976757699012202,1037,721,1000
final__mistral_safety,16,last_prompt,logistic,0.20452520759514187,-0.06027906558893322,0.9886234357224118,1.0,1037,721,1000
final__mistral_safety,19,last_prompt,logistic,0.20494520422850834,-0.03130655000916505,0.9943117178612059,1.0,1037,721,1000
final__mistral_safety,24,last_prompt,logistic,0.19539912556289402,-0.04369008670111481,0.997155858930603,1.0,1037,721,1000
final__mistral_safety,26,last_prompt,logistic,0.20993159302121558,-0.044435845285588554,0.997155858930603,1.0,1037,721,1000
final__mistral_safety,31,last_prompt,logistic,0.21385325190072277,-0.0027084353246427497,1.0,1.0,1037,721,1000
